COIN,PRICE,CHG 24H,MKT CAP,FDV,VOL 24H,OPEN INTEREST,OI CHG 24H,OI CHG 24H,OI CHG 4H,OI CHG 4H,OI SHARE,OI / VOL24H,OI / MKTCAP,VOL24H / MKTCAP,FR AVG,PFR AVG,FR AVG OI_W,PFR AVG OI_W,LIQS. 24H,SHORT LIQS. 24H,LONG LIQS. 24H,LIQS. 24H / VOL 24H,LIQS. 24H / OI,NR CONTRS,L/S RATIO (1H),LONG (1H),SHORT (1H),L/S RATIO (1D),LONG (1D),SHORT (1D),BTC CORR. 30D,BTC CORR. 7D,ETH CORR. 30D,ETH CORR. 7D,CHART 24H,CHART 7D,CHART 30D,FUT / SPOT VOL RATIO >4 TRAP,BUYSELLVOL >0.2 PUMP,CORE TRIO 1 > 15,CORE TRIO 2 < -15,CORE TRIO 3 > 10,CVD DIV : DUMP=<-0.1 AND PUMP= >0.1,SPOT CVD SLOPE 25M,CVD SPOT LED DIVERG,DAILY SPOT ACCUMULATION,EXIT : LEVERAGE EXHAUSTION RATIO > 1.5,OI SCORE <0 = PUMP OVER,SPOT CVD DIVERGENCE LEAD>2,< -1 = PUMP OVER,EXPLOSIVE BREAKOUT >0.5 = BREAKOUT,FUNDING RATE ANOMALY,HEALTHY LEVERAGE GROWTH > 0.05,HOURLY BID-SIDE PRESSURE,HOURLY VOLUME PERSISTENCE,SPOT ACCUMULATION 12HR,HTF STEALTH ACCUMULATION BREAKOUT > 8,HTF VOLUME-WEIGHTED OI BREAKOUT,SPOT CVD ACCELERATION DOWN,LAYER 1:SUSTAINED OI GROWTH PT1 > 15,LAYER 1 STEALTH PT2 : OI GROWTH IN CONSOLIDATION > -5,LAYER 1:SUSTAINED OI GROWTH PT3 <5,LAYER 1 : SPOT CVD VS. PRICE DIVERGENCE >10,LAYER 2 BID-SIDE PRESSURE > 1.5,LAYER 2 : VOLUME PERSISTENCE PRE-BREAKOUT > 2,>+2 = LONG REVERSAL SOON,LTF MOMENTUM IGNITION,LTF MOMENTUM IGNITION SCORE > 3.5,NIHILUS 2> 1.4,NIHILUS 3> 2,NIHILUS VOL 1 > 2,OI PRICE CORR( +VE = PUMP),OI FUEL 1HR CHANGE,"OI FUEL ≥2.2 =EXPLOSION ,1.4–2.1=TREND , <1.4 SKIP",OI MULTI-TF SCORE,OI UNWIND : > 0= CASCADE DUMP STARTING,PRED FR CHANGE 1HR,PRICE CHG 15 M,SPOT-LED COMMITMENT SCORE >2,SPOT VOLUME EXPANSION,STEALTH ACCUM >5,OI CHANGE 20H > 10,PRICE CHANGE 20H < 0.05,STEALTH OI ACCUM>4,SUSTAINED OI GROWTH,SELL DOM >0.55,VOL SPIKE > 500
RENDER RENDER,$3.61,'+3.00%,$1.9b,n/a,$43.7m,$54.6m,'+5.72%,$2.9m,-0.60%,$-329.3k,0.45%,1.249,0.029,0.023,'+0.0047%,'+0.0045%,'+0.0040%,'+0.0074%,$19.8k,$12.7k,$7.0k,0.0005,0.0004,8,3.12,75.74%,24.27%,2.93,74.56%,25.45%,'+0.73,'+0.65,'+0.79,'+0.69,,,,3.1291,0.6243,40.1263k,337.0867,0.4894,0.0005,99.5457,-17.8960,241.6330,0.6833,0.3013,0.1905,18.3944,656.1754,0.0031,-0.6504,1.0423,0.7661,40.1263k,1.5376k,-0.6578,-22.7336,3.1934,0.7991,0.7991,-54.0565,1.0423,1.0126,0.9582,14.1720,1.3024,7.7538,0.0522,0.4563,0.1671,-0.6504,7.7538,-0.3866,-0.0194,-40.9670,0.1476,0.0522,1.1432,-0.7451,3.7432,0.0386,-6.6504,6.2236,0.4341,-18.8575
DeXe DEXE,$12.14,'+32.46%,$695.1m,n/a,$62.9m,$29.0m,'+49.45%,$9.6m,'+5.31%,$1.5m,0.24%,0.461,0.042,0.091,'+0.0241%,'+0.0307%,'+0.0057%,'+0.0058%,$145.3k,$83.0k,$62.3k,0.0023,0.0050,4,0.82,45.07%,54.93%,0.81,44.67%,55.33%,'+0.05,'+0.72,-0.47,'+0.71,,,,5.9171,0.6279,13.0312k,75.0779,7.9910,0.0002,99.1488,-35.0689,1.6843,1.5335,-2.6496,13.0691,45.4580,166.0149,0.0247,3.0452,1.0157,1.1295,13.0312k,2.9513k,6.1316,-3.7691,42.9894,23.7222,23.7222,-17.4214,1.0157,2.2406,-5.7253,-1.1203,-0.1858,-14.3824,3.2790,0.8883,0.4635,3.0452,-14.3824,1.7745,-0.3756,35.5676,0.0876,3.2790,5.3302,-4.1376,16.1607,0.1418,3.0452,28.2848,0.4793,-8.3578
Injective Protocol INJ,$12.61,'+2.37%,$1.2b,n/a,$87.6m,$84.4m,'+2.21%,$1.8m,-0.72%,$-615.0k,0.69%,0.963,0.068,0.071,'+0.0118%,'+0.0114%,'+0.0102%,'+0.0101%,$58.0k,$54.7k,$3.3k,0.0007,0.0007,12,2.17,68.45%,31.55%,2.11,67.81%,32.19%,'+0.63,'+0.90,'+0.91,'+0.94,,,,6.2769,0.1050,12.4040k,-25.9465,-0.2811,0.0010,99.9995,5.0309,207.4025,-0.7277,0.4563,9.1732,4.6051,3.5128k,0.0120,-0.6488,1.0168,0.9690,12.4040k,360.2251,-0.8169,-397.2527,-0.0326,3.7069,3.7069,-10.4368,1.0168,1.2927,1.1116,8.2846,1.3896,-0.0085,1.5353,0.4921,-0.0949,-0.6488,-0.0085,-0.2446,0.0354,-9.5363,-0.0595,1.5353,0.7409,-0.8629,1.5609,0.0296,-6.6488,-6.0696,0.4949,-10.5199
XDC Network XDC,$0.08,'+0.55%,$1.3b,n/a,$766.8k,$4.8m,'+2.58%,$121.1k,-1.15%,$-56.0k,0.04%,6.280,0.004,0.001,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$61.10,$61.10,$n/a,0.0001,0.0000,2,2.02,66.94%,33.06%,1.86,64.99%,35.01%,'+0.07,'+0.67,'+0.51,'+0.59,,,,2.0617,5.5271,12.0196k,-34.3195,0.1983,0.0009,21.6039,-31.3073,-4.9405,0.1072,-0.0154,2.7434,34.0360,-375.8362,0.0100,-0.0647,0.8828,0.7066,12.0196k,616.3655,-0.0349,8.9310,5.9328,-0.4420,-0.4420,14.7990,0.8828,0.5151,0.0500,152.0353,0.5119,96.2645,3.4242,0.3628,0.0749,-0.0647,96.2645,-0.2213,-0.0635,0.0000,0.0114,3.4242,0.2639,-0.0649,2.9541,0.0154,-6.0647,3.3175,0.5419,-69.0744
Threshold T,$0.02,'+2.21%,$157.7m,n/a,$1.8m,$4.7m,'+1.84%,$85.0k,-0.45%,$-21.1k,0.04%,2.620,0.030,0.011,'+0.0067%,'+0.0075%,'+0.0070%,'+0.0073%,$1.8k,$1.1k,$694.50,0.0010,0.0004,5,1.86,65.09%,34.92%,1.93,65.89%,34.11%,'+0.57,'+0.16,'+0.87,'+0.17,,,,5.7084,-2.3113,3.5848k,74.2320,0.3522,0.0004,91.0860,11.4809,-24.5089,-0.6394,0.5921,-1.3874,-12.2671,16.2568k,0.0131,-0.8995,1.0050,1.1222,3.5848k,919.5761,-1.0701,n/a,2.1752,0.0773,0.0773,-19.6393,1.0050,1.2127,1.5006,1.4484,0.7099,-5.2013,-0.7267,0.2631,-0.1234,-0.8995,-5.2013,-0.4426,0.0720,-18.2160,-0.0514,-0.7267,0.5996,-1.2609,2.0307,0.0253,-6.8995,4.7969,0.4842,-51.4003
Alchemist AI ALCH,$0.06,-4.97%,$51.8m,$60.9m,$6.7m,$31.8m,-5.27%,$-1.8m,'+0.62%,$195.5k,0.26%,4.722,0.614,0.130,'+0.0257%,'+0.0284%,'+0.0101%,'+0.0216%,$11.3k,$1.1k,$10.2k,0.0017,0.0004,6,1.43,58.80%,41.20%,1.46,59.29%,40.72%,'+0.24,'+0.62,'+0.76,'+0.52,,,,22.7925,-0.5593,3.4788k,n/a,-1.5044,-0.0143,31.0474,-16.8012,n/a,-10.5693,0.3130,-21.1568,-4.0392,296.4048,0.0211,-0.3403,1.2037,0.7334,3.4788k,-6.0088,-0.2735,-572.1449,-6.5882,-5.3261,-5.3261,2.7857k,1.2037,0.7881,0.6567,-10.4592,0.9042,-27.2394,-1.0185,0.2512,-0.6125,-0.3403,-27.2394,0.1913,0.3460,-2.9276,-0.2674,-1.0185,0.0980,-0.4404,-4.9209,0.0537,-6.3403,2.3982,0.4465,34.7029
Resolv RESOLV,$0.11,'+3.25%,$36.2m,$110.6m,$18.1m,$12.7m,'+0.70%,$88.7k,-2.36%,$-307.9k,0.10%,0.702,0.352,0.500,0.00%,-0.02%,0.00%,-0.01%,$16.8k,$6.3k,$10.5k,0.0009,0.0013,7,1.86,65.01%,35%,1.90,65.53%,34.47%,'+0.31,-0.03,'+0.79,'+0.00,,,,11.6590,-2.2120,3.2652k,-12.6313,-1.1196,-0.0002,88.8658,52.7727,-33.8556,14.9332,1.6366,2.8335,-48.2697,38.4745,0.0061,-3.2766,0.8567,1.3144,3.2652k,59.3138,-4.4290,-5.6987,-4.2086,-2.6929,-2.6929,-53.4012,0.8567,1.4010,4.9460,-1.2984,0.9135,-1.9909,0.4143,0.4983,-1.4061,-3.2766,-1.9909,-2.3976,0.9155,123.9111,-0.4952,0.4143,0.7328,-6.0636,3.2777,0.0579,5.7234,-5.6493,0.5745,-61.8155
BounceBit BB,$0.20,'+6.59%,$81.4m,n/a,$40.3m,$16.7m,'+18.58%,$2.6m,'+6.48%,$1.0m,0.14%,0.414,0.205,0.494,0.00%,0.00%,0.00%,-0.01%,$96.8k,$48.2k,$48.6k,0.0024,0.0058,6,1.44,59.03%,40.98%,1.42,58.67%,41.33%,'+0.12,-0.71,-0.40,-0.67,,,,3.8530,0.5641,3.1677k,-75.7034,15.0810,0.0002,90.5163,n/a,-70.2554,-0.7585,-4.4432,18.6746,n/a,147.2716,0.0104,6.8805,0.8914,2.5304,3.1677k,2.1697k,20.8348,18.9603,-20.0250,-2.0757,-2.0757,-81.6919,0.8914,3.7984,-11.3920,1.2706,1.7188,3.2802,9.7095,0.4651,1.2825,6.8805,3.2802,4.0228,-0.5103,-105.0937,0.7682,9.7095,5.9230,-13.4722,14.7986,0.0752,-11.1195,-3.1964,0.4808,29.5371
RSS3 RSS3,$0.04,'+2.56%,$32.0m,n/a,$139.7k,$831.1k,'+0.99%,$8.1k,'+0.22%,$1.8k,0.01%,5.947,0.026,0.004,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$0.00,$n/a,$n/a,0.0000,0.0000,2,2.23,69.07%,30.93%,2.30,69.71%,30.29%,'+0.38,'+0.59,'+0.82,'+0.67,,,,0.3136,-0.1574,3.0824k,25.8324,-0.4922,-1.1437,31.9343,2.4538,17.0862,2.9624,-0.4423,1.8250,-1.0673,-202.0402,0.0100,-0.3750,1.4854,0.5753,3.0824k,631.3773,-0.1145,4.5447,-2.5655,0.8418,0.8418,-58.8669,1.4854,0.2856,-0.0635,4.7310,3.7021,n/a,0.0729,0.2425,0.3541,-0.3750,n/a,-0.1224,-0.0445,0.0000,0.3094,0.0729,1.0930,-0.5673,0.7948,0.0214,-6.3750,1.5878,0.4080,2.8225k
Coin98 C98,$0.06,'+28.10%,$60.6m,n/a,$197.6m,$13.9m,'+108.13%,$7.2m,-7.10%,$-1.1m,0.11%,0.070,0.229,3.260,'+0.0217%,-0.01%,'+0.0101%,-0.01%,$766.7k,$256.1k,$510.6k,0.0039,0.0552,5,2.05,67.18%,32.83%,3.07,75.44%,24.56%,'+0.65,'+0.64,'+0.73,'+0.68,,,,4.2568,-0.1082,2.9428k,-100.0000,93.7569,-0.0003,6.8441,90.2123,204.0746,14.6003,-0.9811,-10.7842,-101.9930,-39.9818,0.0014,1.6505,0.9422,2.8403,2.9428k,2.4067k,0.7452,2.0640,97.6120,30.9285,30.9285,357.2383,0.9422,0.4281,-2.6469,n/a,1.1896,n/a,-1.4942,9.1317,-3.4778,1.6505,n/a,-5.8548,2.4965,-212.7256,-1.0065,-1.4942,36.8175,0.6575,92.6694,0.3198,-4.3495,67.0997,0.5012,25.5199
